"GEO_ID","NAME","B08203_001E","B08203_001M","B08203_002E","B08203_002M","B08203_003E","B08203_003M","B08203_004E","B08203_004M","B08203_005E","B08203_005M","B08203_006E","B08203_006M","B08203_007E","B08203_007M","B08203_008E","B08203_008M","B08203_009E","B08203_009M","B08203_010E","B08203_010M","B08203_011E","B08203_011M","B08203_012E","B08203_012M","B08203_013E","B08203_013M","B08203_014E","B08203_014M","B08203_015E","B08203_015M","B08203_016E","B08203_016M","B08203_017E","B08203_017M","B08203_018E","B08203_018M","B08203_019E","B08203_019M","B08203_020E","B08203_020M","B08203_021E","B08203_021M","B08203_022E","B08203_022M","B08203_023E","B08203_023M","B08203_024E","B08203_024M","B08203_025E","B08203_025M","B08203_026E","B08203_026M","B08203_027E","B08203_027M","B08203_028E","B08203_028M","B08203_029E","B08203_029M","B08203_030E","B08203_030M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!No workers:","Margin of Error!!Total:!!No workers:","Estimate!!Total:!!No workers:!!No vehicle available","Margin of Error!!Total:!!No workers:!!No vehicle available","Estimate!!Total:!!No workers:!!1 vehicle available","Margin of Error!!Total:!!No workers:!!1 vehicle available","Estimate!!Total:!!No workers:!!2 vehicles available","Margin of Error!!Total:!!No workers:!!2 vehicles available","Estimate!!Total:!!No workers:!!3 vehicles available","Margin of Error!!Total:!!No workers:!!3 vehicles available","Estimate!!Total:!!No workers:!!4 or more vehicles available","Margin of Error!!Total:!!No workers:!!4 or more vehicles available","Estimate!!Total:!!1 worker:","Margin of Error!!Total:!!1 worker:","Estimate!!Total:!!1 worker:!!No vehicle available","Margin of Error!!Total:!!1 worker:!!No vehicle available","Estimate!!Total:!!1 worker:!!1 vehicle available","Margin of Error!!Total:!!1 worker:!!1 vehicle available","Estimate!!Total:!!1 worker:!!2 vehicles available","Margin of Error!!Total:!!1 worker:!!2 vehicles available","Estimate!!Total:!!1 worker:!!3 vehicles available","Margin of Error!!Total:!!1 worker:!!3 vehicles available","Estimate!!Total:!!1 worker:!!4 or more vehicles available","Margin of Error!!Total:!!1 worker:!!4 or more vehicles available","Estimate!!Total:!!2 workers:","Margin of Error!!Total:!!2 workers:","Estimate!!Total:!!2 workers:!!No vehicle available","Margin of Error!!Total:!!2 workers:!!No vehicle available","Estimate!!Total:!!2 workers:!!1 vehicle available","Margin of Error!!Total:!!2 workers:!!1 vehicle available","Estimate!!Total:!!2 workers:!!2 vehicles available","Margin of Error!!Total:!!2 workers:!!2 vehicles available","Estimate!!Total:!!2 workers:!!3 vehicles available","Margin of Error!!Total:!!2 workers:!!3 vehicles available","Estimate!!Total:!!2 workers:!!4 or more vehicles available","Margin of Error!!Total:!!2 workers:!!4 or more vehicles available","Estimate!!Total:!!3 or more workers:","Margin of Error!!Total:!!3 or more workers:","Estimate!!Total:!!3 or more workers:!!No vehicle available","Margin of Error!!Total:!!3 or more workers:!!No vehicle available","Estimate!!Total:!!3 or more workers:!!1 vehicle available","Margin of Error!!Total:!!3 or more workers:!!1 vehicle available","Estimate!!Total:!!3 or more workers:!!2 vehicles available","Margin of Error!!Total:!!3 or more workers:!!2 vehicles available","Estimate!!Total:!!3 or more workers:!!3 vehicles available","Margin of Error!!Total:!!3 or more workers:!!3 vehicles available","Estimate!!Total:!!3 or more workers:!!4 or more vehicles available","Margin of Error!!Total:!!3 or more workers:!!4 or more vehicles available",
"1400000US13121000100","Census Tract 1; Fulton County; Georgia","2593","396","92","106","1244","446","949","336","261","110","47","44","674","405","92","106","371","375","200","207","11","18","0","20","1077","276","0","20","812","274","183","101","82","73","0","20","774","270","0","20","61","49","546","267","120","79","47","44","68","67","0","20","0","20","20","34","48","56","0","20",
"1400000US13121000201","Census Tract 2.01; Fulton County; Georgia","1058","181","0","14","535","186","407","136","98","51","18","23","117","55","0","14","97","56","20","22","0","14","0","14","545","188","0","14","407","181","105","62","33","46","0","14","347","140","0","14","24","28","263","129","56","71","4","11","49","33","0","14","7","12","19","29","9","15","14","20",
"1400000US13121000202","Census Tract 2.02; Fulton County; Georgia","1653","459","25","28","889","459","562","130","135","69","42","42","490","398","12","19","423","392","55","36","0","14","0","14","420","160","0","14","281","174","55","43","68","51","16","24","670","206","0","14","174","157","442","123","46","40","8","13","73","53","13","22","11","24","10","18","21","25","18","29",
"1400000US13121000400","Census Tract 4; Fulton County; Georgia","1087","181","37","29","681","164","302","98","47","30","20","26","222","77","25","20","147","75","41","30","9","15","0","14","534","139","12","20","400","113","101","69","21","27","0","14","311","127","0","14","134","112","160","75","17","26","0","14","20","26","0","14","0","14","0","14","0","14","20","26",
"1400000US13121000501","Census Tract 5.01; Fulton County; Georgia","3091","368","250","183","1579","422","1216","360","30","47","16","27","89","79","83","80","6","10","0","20","0","20","0","20","1880","477","159","168","1135","379","556","289","30","47","0","20","1075","336","0","20","438","226","637","294","0","20","0","20","47","46","8","14","0","20","23","36","0","20","16","27",
"1400000US13121000502","Census Tract 5.02; Fulton County; Georgia","960","118","10","15","213","70","509","142","183","95","45","36","116","58","0","14","14","15","102","55","0","14","0","14","423","101","10","15","158","65","157","79","98","89","0","14","357","139","0","14","41","34","242","124","45","43","29","36","64","38","0","14","0","14","8","12","40","35","16","18",
"1400000US13121000601","Census Tract 6.01; Fulton County; Georgia","2358","370","639","357","1314","358","297","165","49","59","59","65","439","267","256","234","144","143","11","20","0","14","28","45","1229","366","202","213","1001","342","0","14","26","41","0","14","508","210","162","204","97","93","226","153","23","39","0","14","182","75","19","31","72","6","60","59","0","14","31","46",
"1400000US13121000602","Census Tract 6.02; Fulton County; Georgia","1636","248","375","196","911","321","287","203","33","33","30","49","168","166","149","164","19","31","0","14","0","14","0","14","1106","282","200","114","808","292","98","93","0","14","0","14","316","211","26","42","84","100","176","187","0","14","30","49","46","37","0","14","0","14","13","20","33","33","0","14",
"1400000US13121000700","Census Tract 7; Fulton County; Georgia","402","46","0","14","136","64","221","51","45","29","0","14","58","62","0","14","58","62","0","14","0","14","0","14","114","48","0","14","62","39","33","22","19","16","0","14","220","45","0","14","16","16","178","49","26","21","0","14","10","12","0","14","0","14","10","12","0","14","0","14",
"1400000US13121001001","Census Tract 10.01; Fulton County; Georgia","2670","356","519","253","1600","329","442","143","108","95","1","3","451","167","182","136","266","152","3","5","0","20","0","20","1446","313","141","88","1083","305","222","138","0","20","0","20","666","233","181","177","159","64","217","103","108","95","1","3","107","89","15","24","92","87","0","20","0","20","0","20",
"1400000US13121001002","Census Tract 10.02; Fulton County; Georgia","829","141","205","94","344","124","263","165","13","21","4","7","135","107","25","33","97","101","0","20","13","21","0","20","421","125","145","81","217","91","59","67","0","20","0","20","269","151","35","34","30","30","204","151","0","20","0","20","4","7","0","20","0","20","0","20","0","20","4","7",
"1400000US13121001101","Census Tract 11.01; Fulton County; Georgia","2507","336","95","85","1773","325","585","259","21","35","33","56","345","186","20","30","253","190","72","70","0","14","0","14","1681","327","75","79","1385","307","188","196","0","14","33","56","471","143","0","14","135","103","325","144","11","18","0","14","10","29","0","14","0","14","0","14","10","29","0","14",
