,CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,OID_TRACT_20,GEOID_TRACT_20,NAMELSAD_TRACT_20,AREALAND_TRACT_20,AREAWATER_TRACT_20,MTFCC_TRACT_20,FUNCSTAT_TRACT_20,OID_TRACT_10,GEOID_TRACT_10,NAMELSAD_TRACT_10,AREALAND_TRACT_10,AREAWATER_TRACT_10,MTFCC_TRACT_10,FUNCSTAT_TRACT_10,AREALAND_PART,AREAWATER_PART
0,1400000US13001950100,Georgia,Appling County,0,3190,1270,0,34.0,1.07,0,0,0,0,0,0,17.4,68250.0,1,1,0,0,0,1,0,0,1004.0,1004.0,,334.0,334.0,,3190.0,100.0,1217.0,38.15,811.0,25.42,431.0,13.51,2976.0,93.29,116.0,3.64,7.0,0.22,0.0,0.0,5.0,0.16,86.0,2.7,104.0,3.26,76.0,5.97,183.0,14.44,3190.0,100.0,1217.0,38.15,811.0,25.42,431.0,13.51,2976.0,93.29,116.0,3.64,7.0,0.22,0.0,0.0,5.0,0.16,86.0,2.7,104.0,3.26,76.0,5.97,183.0,14.44,1004.0,31.48,334.0,10.48,235.0,7.38,150.0,4.7,957.0,30.0,25.0,0.78,1.0,0.03,0.0,0.0,1.0,0.03,21.0,0.65,29.0,0.9,24.0,1.89,59.0,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,1167.0,811.0,431.0,2976.0,116.0,7.0,0.0,5.0,86.0,104.0,68.0,164.0,20790331898430.0,13001950100,Census Tract 9501,325913998.0,6429094.0,G5020,S,20740331898430.0,13001950100,Census Tract 9501,325913998.0,6429094.0,G5020,S,325913998.0,6429094.0
1,1400000US13001950400,Georgia,Appling County,0,1476,606,0,0.0,0.0,1,1,0,0,0,1,17.0,50000.0,1,1,0,0,0,1,0,0,923.0,923.0,,260.0,260.0,,1476.0,100.0,503.0,34.11,324.0,21.95,268.0,18.16,1138.0,77.1,274.0,18.56,8.0,0.54,0.0,0.0,10.0,0.68,46.0,3.12,38.0,2.57,36.0,5.86,91.0,15.0,1476.0,100.0,503.0,34.11,324.0,21.95,268.0,18.16,1138.0,77.1,274.0,18.56,8.0,0.54,0.0,0.0,10.0,0.68,46.0,3.12,38.0,2.57,36.0,5.86,91.0,15.0,923.0,62.55,260.0,17.61,197.0,13.35,164.0,11.1,828.0,56.11,71.0,4.79,5.0,0.34,0.0,0.0,0.0,0.0,19.0,1.31,10.0,0.69,21.0,3.47,57.0,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,590.0,324.0,268.0,1138.0,274.0,8.0,0.0,10.0,46.0,38.0,38.0,96.0,20790331898504.0,13001950400,Census Tract 9504,388759777.0,568690.0,G5020,S,20740331898504.0,13001950400,Census Tract 9504,388759777.0,568690.0,G5020,S,388759777.0,568690.0
2,1400000US13001950500,Georgia,Appling County,0,3864,1493,0,0.0,0.0,0,0,0,0,0,1,25.2,47258.0,0,0,0,0,0,0,0,0,487.0,487.0,,109.0,109.0,,3864.0,100.0,1532.0,39.64,971.0,25.13,503.0,13.02,3328.0,86.13,197.0,5.1,8.0,0.21,11.0,0.28,36.0,0.93,284.0,7.35,394.0,10.2,37.0,2.48,247.0,16.58,3864.0,100.0,1532.0,39.64,971.0,25.13,503.0,13.02,3328.0,86.13,197.0,5.1,8.0,0.21,11.0,0.28,36.0,0.93,284.0,7.35,394.0,10.2,37.0,2.48,247.0,16.58,487.0,12.61,109.0,2.82,112.0,2.91,74.0,1.93,448.0,11.59,5.0,0.12,3.0,0.08,0.0,0.0,5.0,0.13,26.0,0.69,60.0,1.56,0.0,0.0,32.0,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,1759.0,971.0,503.0,3328.0,197.0,8.0,11.0,36.0,284.0,394.0,49.0,246.0,20790331898487.0,13001950500,Census Tract 9505,373034730.0,2239485.0,G5020,S,20740331898487.0,13001950500,Census Tract 9505,373034730.0,2239485.0,G5020,S,373034730.0,2239485.0
3,1400000US13003960100,Georgia,Atkinson County,0,2077,770,0,0.0,0.0,1,1,0,0,0,1,30.9,33203.0,1,1,0,0,0,1,0,0,1842.0,1842.0,,1182.0,1182.0,,2077.0,100.0,1335.0,64.3,599.0,28.84,246.0,11.84,1195.0,57.53,548.0,26.38,4.0,0.19,3.0,0.14,18.0,0.87,309.0,14.88,387.0,18.63,75.0,9.72,214.0,27.74,2077.0,100.0,1335.0,64.3,599.0,28.84,246.0,11.84,1195.0,57.53,548.0,26.38,4.0,0.19,3.0,0.14,18.0,0.87,309.0,14.88,387.0,18.63,75.0,9.72,214.0,27.74,1842.0,88.67,1182.0,56.89,540.0,26.01,228.0,10.96,996.0,47.94,526.0,25.31,4.0,0.19,3.0,0.14,18.0,0.85,296.0,14.23,371.0,17.87,67.0,8.77,190.0,24.71,,,,,,,,,,,,,,,,,,,,,,,,,,,1334.0,599.0,246.0,1195.0,548.0,4.0,3.0,18.0,309.0,387.0,67.0,200.0,2079048077744.0,13003960100,Census Tract 9601,255746937.0,1477743.0,G5020,S,2074048077744.0,13003960100,Census Tract 9601,255746937.0,1477743.0,G5020,S,255746937.0,1477743.0
4,1400000US13005970100,Georgia,Bacon County,0,3057,1167,0,0.0,0.0,0,0,0,0,0,1,26.8,49148.0,0,0,0,0,0,0,0,0,288.0,288.0,,113.0,113.0,,3057.0,100.0,1390.0,45.48,755.0,24.7,348.0,11.38,2719.0,88.94,173.0,5.66,5.0,0.16,5.0,0.16,8.0,0.26,147.0,4.81,211.0,6.9,0.0,0.0,81.0,6.93,3057.0,100.0,1390.0,45.48,755.0,24.7,348.0,11.38,2719.0,88.94,173.0,5.66,5.0,0.16,5.0,0.16,8.0,0.26,147.0,4.81,211.0,6.9,0.0,0.0,81.0,6.93,288.0,9.41,113.0,3.69,71.0,2.33,40.0,1.3,270.0,8.82,6.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.39,16.0,0.52,0.0,0.0,8.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,1324.0,755.0,348.0,2719.0,173.0,5.0,5.0,8.0,147.0,211.0,0.0,76.0,20790403645072.0,13005970100,Census Tract 9701,374933154.0,2206488.0,G5020,S,20740403645072.0,13005970100,Census Tract 9701,374933154.0,2206488.0,G5020,S,374933154.0,2206488.0
5,1400000US13005970201,Georgia,Bacon County,0,4233,1606,0,135.0,3.19,0,0,0,1,1,1,28.1,48404.0,0,0,0,0,0,0,0,1,80.0,80.0,,32.0,32.0,,4233.0,100.0,2290.0,54.09,1141.0,26.95,631.0,14.91,3056.0,72.19,914.0,21.59,24.0,0.57,5.0,0.12,9.0,0.21,225.0,5.32,247.0,5.84,120.0,7.46,305.0,19.01,3417.0,80.72,1595.0,37.68,936.0,22.12,457.0,10.81,2730.0,64.5,451.0,10.65,16.0,0.38,1.0,0.02,8.0,0.19,211.0,4.98,237.0,5.61,77.0,4.77,249.0,15.49,80.0,1.89,32.0,0.75,25.0,0.6,12.0,0.28,79.0,1.86,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.0,0.02,1.0,0.03,1.0,0.07,6.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,2043.0,1141.0,631.0,3056.0,914.0,24.0,5.0,9.0,225.0,247.0,100.0,283.0,207903712088650.0,13005970201,Census Tract 9702.01,166201073.0,1269189.0,G5020,S,207403712088650.0,13005970201,Census Tract 9702.01,166201073.0,1269189.0,G5020,S,166201073.0,1269189.0
6,1400000US13005970202,Georgia,Bacon County,0,3806,1441,0,190.0,4.99,0,0,0,1,1,1,26.6,38719.0,0,0,0,0,0,0,0,1,,,,,,,3349.0,87.99,1854.0,48.71,819.0,21.53,429.0,11.27,2605.0,68.43,521.0,13.7,8.0,0.22,0.0,0.0,3.0,0.08,212.0,5.56,296.0,7.77,103.0,7.12,333.0,23.08,2351.0,61.78,1204.0,31.63,560.0,14.72,351.0,9.23,2142.0,56.27,103.0,2.7,3.0,0.08,0.0,0.0,2.0,0.04,102.0,2.69,159.0,4.18,45.0,3.13,251.0,17.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900.0,930.0,501.0,2950.0,617.0,9.0,0.0,3.0,227.0,333.0,103.0,369.0,207903712088461.0,13005970202,Census Tract 9702.02,194635992.0,1030633.0,G5020,S,207403712088461.0,13005970202,Census Tract 9702.02,194635992.0,1030633.0,G5020,S,194635992.0,1030633.0
7,1400000US13009970600,Georgia,Baldwin County,1,3923,1616,0,76.0,1.94,1,1,1,1,1,1,36.6,29265.0,1,1,1,1,1,0,0,1,3162.0,3768.0,3162.0,2103.0,2530.0,2103.0,3768.0,96.04,2530.0,64.49,873.0,22.25,505.0,12.86,1028.0,26.22,2630.0,67.05,12.0,0.31,1.0,0.03,8.0,0.2,88.0,2.24,55.0,1.4,231.0,14.3,384.0,23.75,3162.0,80.61,2103.0,53.6,723.0,18.42,437.0,11.14,837.0,21.34,2241.0,57.13,9.0,0.22,1.0,0.03,7.0,0.18,67.0,1.71,49.0,1.25,202.0,12.48,321.0,19.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2308.0,911.0,525.0,1093.0,2718.0,12.0,1.0,8.0,91.0,55.0,224.0,386.0,20790344788591.0,13009970600,Census Tract 9706,14436167.0,25267.0,G5020,S,20740344788591.0,13009970600,Census Tract 9706,14436167.0,25267.0,G5020,S,14436167.0,25267.0
8,1400000US13009970701,Georgia,Baldwin County,1,2632,815,0,637.0,24.2,1,1,1,1,1,1,33.0,39958.0,1,1,1,1,1,0,0,1,1404.0,2247.0,1404.0,1148.0,1605.0,1148.0,2247.0,85.36,1605.0,60.98,505.0,19.2,241.0,9.17,542.0,20.59,1657.0,62.94,10.0,0.39,0.0,0.0,4.0,0.14,34.0,1.31,30.0,1.13,148.0,18.17,242.0,29.69,1404.0,53.33,1148.0,43.62,325.0,12.35,172.0,6.53,342.0,12.98,1041.0,39.56,5.0,0.19,0.0,0.0,2.0,0.09,13.0,0.5,10.0,0.37,100.0,12.28,145.0,17.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458.0,557.0,269.0,689.0,1885.0,14.0,0.0,6.0,38.0,40.0,127.0,222.0,20790344788610.0,13009970701,Census Tract 9707.01,4664074.0,7003.0,G5020,S,20740344788610.0,13009970701,Census Tract 9707.01,4664074.0,7003.0,G5020,S,4664074.0,7003.0
9,1400000US13009970702,Georgia,Baldwin County,1,2297,691,0,634.0,27.6,1,1,1,1,1,1,32.4,29145.0,1,1,1,1,1,0,0,1,1822.0,2273.0,1822.0,1213.0,1538.0,1213.0,2273.0,98.97,1538.0,66.96,441.0,19.18,415.0,18.08,934.0,40.64,1271.0,55.32,30.0,1.31,1.0,0.04,1.0,0.04,37.0,1.61,31.0,1.35,113.0,16.38,188.0,27.15,1822.0,79.33,1213.0,52.8,315.0,13.71,359.0,15.62,755.0,32.85,1017.0,44.26,24.0,1.07,1.0,0.04,1.0,0.04,25.0,1.07,23.0,1.01,93.0,13.47,140.0,20.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367.0,447.0,418.0,942.0,1286.0,30.0,1.0,1.0,37.0,31.0,113.0,184.0,20790344788596.0,13009970702,Census Tract 9707.02,7359778.0,155429.0,G5020,S,20740344788596.0,13009970702,Census Tract 9707.02,7359778.0,155429.0,G5020,S,7359778.0,155429.0
